更新时间: 2026-05-01 16:35:43（北京时间）

更新时间,#genre#
2026-05-01 16:35:43,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
魅力足球,http://113.120.108.132:4000/rtp/239.21.2.95:5002$山东电信
快乐垂钓,http://58.62.234.243:10000/rtp/239.77.0.145:5146$广东电信
快乐垂钓,http://113.120.108.132:4000/rtp/239.21.2.97:5002$山东电信
快乐垂钓,http://221.232.40.13:8888/rtp/239.69.1.142:10488$湖北电信
茶频道,http://58.62.234.243:10000/rtp/239.77.0.15:5146$广东电信
茶频道,http://221.232.40.13:8888/rtp/239.69.1.144:10500$湖北电信
天元围棋,http://58.62.234.243:10000/rtp/239.253.43.98:5146$广东电信
汽摩,http://58.62.234.243:10000/rtp/239.77.0.209:5146$广东电信
汽摩,http://58.62.234.243:10000/rtp/239.77.1.205:5146$广东电信
汽摩,http://113.120.108.132:4000/rtp/239.21.2.142:5002$山东电信
梨园频道,http://113.120.108.132:4000/rtp/239.21.2.101:5002$山东电信
梨园频道,http://221.232.40.13:8888/rtp/239.69.1.33:9838$湖北电信
文物宝库,http://113.120.108.132:4000/rtp/239.21.2.109:5002$山东电信
武术世界,http://113.120.108.132:4000/rtp/239.21.2.96:5002$山东电信
武术世界,http://221.232.40.13:8888/rtp/239.69.1.47:9922$湖北电信
乐游,http://113.120.108.132:4000/rtp/239.21.2.104:5002$山东电信
生活时尚,http://113.120.108.132:4000/rtp/239.21.2.103:5002$山东电信
都市剧场,http://113.120.108.132:4000/rtp/239.21.2.90:5002$山东电信
游戏风云,http://113.120.108.132:4000/rtp/239.21.2.107:5002$山东电信
金色学堂,http://113.120.108.132:4000/rtp/239.21.2.102:5002$山东电信
动漫秀场,http://113.120.108.132:4000/rtp/239.21.2.92:5002$山东电信
卡酷少儿,http://58.62.234.243:10000/rtp/239.77.0.79:5146$广东电信
卡酷少儿,http://58.62.234.243:10000/rtp/239.77.1.50:5146$广东电信
卡酷少儿,http://113.120.108.132:4000/rtp/239.21.2.120:5002$山东电信
卡酷少儿,http://221.232.40.13:8888/rtp/239.69.1.193:10800$湖北电信
金鹰卡通,http://58.62.234.243:10000/rtp/239.77.0.164:5146$广东电信
金鹰卡通,http://58.62.234.243:10000/rtp/239.77.1.52:5146$广东电信
金鹰卡通,http://113.120.108.132:4000/rtp/239.21.2.121:5002$山东电信
金鹰卡通,http://221.232.40.13:8888/rtp/239.69.1.248:11130$湖北电信
优漫卡通,http://58.62.234.243:10000/rtp/239.77.0.222:5146$广东电信
优漫卡通,http://58.62.234.243:10000/rtp/239.77.1.79:5146$广东电信
嘉佳卡通,http://58.62.234.243:10000/rtp/239.77.0.179:5146$广东电信
嘉佳卡通,http://58.62.234.243:10000/rtp/239.77.1.15:5146$广东电信
中国交通,http://113.120.108.132:4000/rtp/239.21.1.115:5002$山东电信
中国天气,http://58.62.234.243:10000/rtp/239.77.1.2:5146$广东电信
华数热播剧场,http://58.62.234.243:10000/rtp/239.77.0.106:5146$广东电信
华数少儿动画,http://58.62.234.243:10000/rtp/239.77.0.109:5146$广东电信

湖北,#genre#
湖北公共新闻,http://221.232.40.13:8888/rtp/239.69.1.40:9880$湖北电信
湖北经视频道,http://221.232.40.13:8888/rtp/239.69.1.41:9886$湖北电信
湖北综合频道,http://221.232.40.13:8888/rtp/239.69.1.42:9892$湖北电信
湖北垄上频道,http://221.232.40.13:8888/rtp/239.69.1.43:9898$湖北电信
湖北影视频道,http://221.232.40.13:8888/rtp/239.69.1.204:10866$湖北电信
湖北生活频道,http://221.232.40.13:8888/rtp/239.69.1.205:10872$湖北电信
湖北教育频道,http://221.232.40.13:8888/rtp/239.69.1.206:10878$湖北电信
武汉新闻综合,http://221.232.40.13:8888/rtp/239.69.1.145:10506$湖北电信
武汉电视剧,http://221.232.40.13:8888/rtp/239.69.1.146:10512$湖北电信
武汉科技生活,http://221.232.40.13:8888/rtp/239.69.1.251:11148$湖北电信
武汉文体频道,http://221.232.40.13:8888/rtp/239.69.1.147:10518$湖北电信
武汉教育频道,http://221.232.40.13:8888/rtp/239.69.1.60:9994$湖北电信
阳新综合,http://221.232.40.13:8888/rtp/239.69.1.34:9844$湖北电信
房县综合,http://221.232.40.13:8888/rtp/239.69.1.192:10794$湖北电信
蔡甸综合,http://221.232.40.13:8888/rtp/239.69.1.245:11112$湖北电信

